Step,Win percentage,Player,Parent action,Action,al_bridge_1,al_bridge_2,al_bridge_3,al_escape_1,al_escape_2,al_escape_3,en_bridge_1,en_bridge_2,en_bridge_3,en_escape_1,en_escape_2,en_escape_3,al_pawns,en_pawns
1,48.0,1,,"(0, 'WEST', 'h', 0, 3)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,49.333333333333336,1,,"(0, 'WEST', 'h', 1, 3)",3,3,4,3,2,3,3,4,4,3,3,3,0,0
1,56.0,1,,"(0, 'WEST', 'h', 2, 3)",4,3,3,3,2,3,3,4,4,3,3,3,0,0
1,46.666666666666664,1,,"(0, 'WEST', 'h', 3, 3)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,54.666666666666664,1,,"(0, 'WEST', 'v', 1, 2)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,57.77777777777778,1,,"(0, 'WEST', 'v', 2, 2)",4,3,4,3,1,3,3,4,4,3,3,3,0,0
1,50.66666666666667,1,,"(0, 'WEST', 'v', 3, 2)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,44.0,1,,"(0, 'WEST', 'v', 1, 3)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,49.333333333333336,1,,"(0, 'WEST', 'v', 2, 3)",4,3,4,3,1,3,3,4,4,3,3,3,0,0
1,45.33333333333333,1,,"(0, 'WEST', 'v', 3, 3)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,29.333333333333332,1,,"(0, 'NORTH', 'h', 0, 3)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,48.0,1,,"(0, 'NORTH', 'h', 1, 3)",3,3,4,3,2,3,3,4,4,3,3,3,0,0
1,48.0,1,,"(0, 'NORTH', 'h', 2, 3)",4,3,3,3,2,3,3,4,4,3,3,3,0,0
1,40.0,1,,"(0, 'NORTH', 'h', 3, 3)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,46.666666666666664,1,,"(0, 'NORTH', 'v', 1, 2)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,48.0,1,,"(0, 'NORTH', 'v', 2, 2)",4,3,4,3,1,3,3,4,4,3,3,3,0,0
1,48.0,1,,"(0, 'NORTH', 'v', 3, 2)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,50.66666666666667,1,,"(0, 'NORTH', 'v', 1, 3)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,42.66666666666667,1,,"(0, 'NORTH', 'v', 2, 3)",4,3,4,3,1,3,3,4,4,3,3,3,0,0
1,40.0,1,,"(0, 'NORTH', 'v', 3, 3)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,61.06666666666666,1,,"(0, 'SOUTH', 'h', 0, 3)",3,4,4,1,2,3,4,4,4,3,3,3,1,1
1,56.0,1,,"(0, 'SOUTH', 'h', 1, 3)",3,3,4,2,2,3,4,4,4,3,3,3,1,1
1,52.0,1,,"(0, 'SOUTH', 'h', 2, 3)",4,3,3,2,2,3,4,4,4,3,3,3,1,1
1,69.62962962962965,1,,"(0, 'SOUTH', 'h', 3, 3)",4,4,3,2,2,2,4,4,4,3,3,3,1,1
1,42.66666666666667,1,,"(0, 'SOUTH', 'v', 1, 2)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,61.481481481481495,1,,"(0, 'SOUTH', 'v', 2, 2)",4,3,4,2,1,3,4,4,4,3,3,3,1,1
1,57.333333333333336,1,,"(0, 'SOUTH', 'v', 3, 2)",4,4,3,2,2,2,4,4,4,3,3,3,1,1
1,56.0,1,,"(0, 'SOUTH', 'v', 1, 3)",3,4,4,1,2,3,4,4,4,3,3,3,1,1
1,60.00000000000001,1,,"(0, 'SOUTH', 'v', 2, 3)",4,3,4,2,1,3,4,4,4,3,3,3,1,1
1,53.333333333333336,1,,"(0, 'SOUTH', 'v', 3, 3)",4,4,3,2,2,2,4,4,4,3,3,3,1,1
1,48.0,1,,"(1, 'NORTH', 'h', 0, 3)",3,4,4,2,2,3,4,3,4,4,3,4,0,0
1,44.0,1,,"(1, 'NORTH', 'h', 1, 3)",3,3,4,3,2,3,4,3,4,4,3,4,0,0
1,48.0,1,,"(1, 'NORTH', 'h', 2, 3)",4,3,3,3,2,3,4,3,4,4,3,4,0,0
1,48.0,1,,"(1, 'NORTH', 'h', 3, 3)",4,4,3,3,2,2,4,3,4,4,3,4,0,0
1,46.666666666666664,1,,"(1, 'NORTH', 'v', 1, 2)",3,4,4,2,2,3,4,3,4,4,3,4,0,0
1,49.333333333333336,1,,"(1, 'NORTH', 'v', 2, 2)",4,3,4,3,1,3,4,3,4,4,3,4,0,0
1,41.333333333333336,1,,"(1, 'NORTH', 'v', 3, 2)",4,4,3,3,2,2,4,3,4,4,3,4,0,0
1,40.0,1,,"(1, 'NORTH', 'v', 1, 3)",3,4,4,2,2,3,4,3,4,4,3,4,0,0
1,44.0,1,,"(1, 'NORTH', 'v', 2, 3)",4,3,4,3,1,3,4,3,4,4,3,4,0,0
1,46.666666666666664,1,,"(1, 'NORTH', 'v', 3, 3)",4,4,3,3,2,2,4,3,4,4,3,4,0,0
1,54.666666666666664,1,,"(1, 'SOUTH', 'h', 0, 3)",3,4,4,2,1,3,4,4,4,4,3,4,1,1
1,60.7719298245614,1,,"(1, 'SOUTH', 'h', 1, 3)",3,3,4,3,1,3,4,4,4,4,3,4,1,1
1,59.111111111111114,1,,"(1, 'SOUTH', 'h', 2, 3)",4,3,3,3,1,3,4,4,4,4,3,4,1,1
1,60.95238095238095,1,,"(1, 'SOUTH', 'h', 3, 3)",4,4,3,3,1,2,4,4,4,4,3,4,1,1
1,58.666666666666664,1,,"(1, 'SOUTH', 'v', 1, 2)",3,4,4,2,1,3,4,4,4,4,3,4,1,1
1,49.333333333333336,1,,"(1, 'SOUTH', 'v', 2, 2)",4,3,4,3,1,3,4,3,4,4,3,4,0,0
1,60.088888888888874,1,,"(1, 'SOUTH', 'v', 3, 2)",4,4,3,3,1,2,4,4,4,4,3,4,1,1
1,60.66666666666666,1,,"(1, 'SOUTH', 'v', 1, 3)",3,4,4,2,1,3,4,4,4,4,3,4,1,1
1,60.8,1,,"(1, 'SOUTH', 'v', 2, 3)",4,3,4,3,0,3,4,4,4,4,3,4,1,1
1,60.49122807017543,1,,"(1, 'SOUTH', 'v', 3, 3)",4,4,3,3,1,2,4,4,4,4,3,4,1,1
1,46.666666666666664,1,,"(2, 'NORTH', 'h', 0, 3)",3,4,4,2,2,3,4,4,3,3,3,3,0,0
1,52.0,1,,"(2, 'NORTH', 'h', 1, 3)",3,3,4,3,2,3,4,4,3,3,3,3,0,0
1,50.66666666666667,1,,"(2, 'NORTH', 'h', 2, 3)",4,3,3,3,2,3,4,4,3,3,3,3,0,0
1,50.66666666666667,1,,"(2, 'NORTH', 'h', 3, 3)",4,4,3,3,2,2,4,4,3,3,3,3,0,0
1,42.66666666666667,1,,"(2, 'NORTH', 'v', 1, 2)",3,4,4,2,2,3,4,4,3,3,3,3,0,0
1,38.666666666666664,1,,"(2, 'NORTH', 'v', 2, 2)",4,3,4,3,1,3,4,4,3,3,3,3,0,0
1,50.66666666666667,1,,"(2, 'NORTH', 'v', 3, 2)",4,4,3,3,2,2,4,4,3,3,3,3,0,0
1,44.0,1,,"(2, 'NORTH', 'v', 1, 3)",3,4,4,2,2,3,4,4,3,3,3,3,0,0
1,49.333333333333336,1,,"(2, 'NORTH', 'v', 2, 3)",4,3,4,3,1,3,4,4,3,3,3,3,0,0
1,40.0,1,,"(2, 'NORTH', 'v', 3, 3)",4,4,3,3,2,2,4,4,3,3,3,3,0,0
1,53.333333333333336,1,,"(2, 'EAST', 'h', 0, 3)",3,4,4,2,2,3,4,4,3,3,3,3,0,0
1,42.66666666666667,1,,"(2, 'EAST', 'h', 1, 3)",3,3,4,3,2,3,4,4,3,3,3,3,0,0
1,48.0,1,,"(2, 'EAST', 'h', 2, 3)",4,3,3,3,2,3,4,4,3,3,3,3,0,0
1,57.333333333333336,1,,"(2, 'EAST', 'h', 3, 3)",4,4,3,3,2,2,4,4,3,3,3,3,0,0
1,56.0,1,,"(2, 'EAST', 'v', 1, 2)",3,4,4,2,2,3,4,4,3,3,3,3,0,0
